,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,ZCTA,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,MEDIAN_INCOME,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,MEDIAN_INCOME_2,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,avg_ppl_per_household
93,21139,1247,14335,0,528,0,27,485,4517,16369,1880,2128,10037,9731,485,9246,1256,1017,1408,971,696,9399,11740,14533,730,1499,3466,2382,879,3089,2488,20913,19489,1424,45041,9914,8667,1247,3855,1959,2081,160,612,1103,13361,5781,1766,45041,2023,1865,399,43,2.14
94,42298,26370,2628,90,5405,0,197,688,6920,27094,9648,4604,10305,14663,9671,4992,2903,2912,3402,2050,846,20145,22153,30043,2414,2040,8405,4538,2542,6331,3773,41751,39730,2021,76489,19803,18589,1214,7621,3919,3755,1749,1545,1497,21194,18450,7090,76489,3267,4918,1949,250,2.82
95,90761,56696,3352,52,14904,76,108,1847,13726,65818,16646,6457,10314,31362,23323,8039,5628,5918,9332,4312,2001,43762,46999,63943,2986,3407,20742,10533,4655,12570,9050,89745,85842,3903,86742,43109,41148,1961,16870,7179,9591,3580,3928,1877,54526,31000,9442,86742,8737,10760,3466,818,2.85
96,47798,1264,16912,0,557,96,221,512,28236,29652,7962,7433,10451,19123,2488,16635,2939,2137,3212,1928,880,22334,25464,30576,4907,4398,7907,5132,2276,4070,1886,47746,43071,4675,28921,20628,18857,1771,4050,7227,4392,654,2534,1897,18269,26495,12678,28921,4012,5376,1399,198,2.49
97,71360,22584,7980,92,2579,28,501,1124,36472,44519,14325,9250,10463,28682,9219,19463,4046,3982,7270,4338,2507,33641,37719,51158,4831,4816,10076,8113,2642,10705,9975,69431,65597,3834,58551,36076,33312,2764,14605,8341,6494,1548,2324,1950,29711,36722,13922,58551,8063,6907,1555,197,2.4
98,43208,3419,24539,0,1186,0,904,618,12542,28536,8703,2675,10475,18759,8080,10679,2440,3251,5573,3613,1408,18358,24850,32233,1848,2716,9292,6084,3182,5918,3193,41981,39703,2278,50832,21321,19869,1452,6558,5239,5899,1142,1031,2228,27941,13481,4963,50832,5100,4353,1035,0,2.22
99,74993,16472,5249,329,30847,24,166,1516,20390,38705,18969,12407,10002,33540,4470,29070,4882,5378,7711,5125,2974,36230,38763,59160,12443,7695,11597,4963,2372,12928,7162,74755,70327,4428,35859,36059,33532,2527,14930,8514,6761,876,2451,1752,27436,44920,27848,35859,8372,6735,1239,219,2.18
100,79597,12310,20558,43,7395,17,220,932,38122,53979,9092,9556,10029,31690,2149,29541,4532,4617,5290,3690,1725,36356,43241,54309,6689,7267,12861,7477,2822,10072,7121,78784,72894,5890,34016,36149,32257,3892,13158,8164,7413,1208,2314,2120,34816,41137,15374,34016,8063,7204,1857,251,2.4
101,60254,10485,14291,61,2279,0,211,1972,30955,34534,11748,12023,10031,21959,2734,19225,2850,3461,3462,2333,753,30567,29687,43469,6474,4566,8875,5905,2036,8937,6676,60235,52882,7353,49891,36083,33604,2479,12487,10078,6856,1498,2685,1962,24069,32995,14095,49891,4727,4929,1140,272,2.72
102,42910,8628,2329,11,1298,14,102,603,29925,22174,9671,9373,10034,16095,1500,14595,2120,2672,3637,1451,691,20361,22549,30637,4505,3281,5483,5062,1877,6004,4425,42863,38806,4057,54716,23714,21864,1850,8280,6790,3752,1159,1883,1645,11659,28719,14502,54716,3867,3887,1068,275,2.66
