ZCTA5CE10,GEOID_ZIP,CLASSFP10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID_NUM,AVG_ASTHMA,AVG_SMOKING,AVG_DIABETES,AVG_MHLTH,AVG_OBESITY,AVG_PHLTH
10007,10007,B5,G6350,413125,0,40.7138577,-74.0077768,10007,7.85,10.7875,5.75,9.9125,13.0125,7.55
10009,10009,B5,G6350,1597617,0,40.7263986,-73.9786335,10009,8.7062,13.375,7.8875,12.2563,16.75,10.2062
10010,10010,B5,G6350,988475,0,40.7391043,-73.9824551,10010,8.12,9.9,4.84,9.9133,13.3933,6.96
10011,10011,B5,G6350,1714087,0,40.7420427,-74.0006196,10011,8.0833,10.4667,5.4333,9.8417,14.7417,7.6167
10012,10012,B5,G6350,837302,0,40.7255806,-73.9980784,10012,7.9692,9.9154,5.3615,9.5385,13.2846,7.3
10013,10013,B5,G6350,1425087,0,40.7201028,-74.0049013,10013,7.9182,11.2545,6.1091,10.0545,13.4364,7.9727
10014,10014,B5,G6350,1423747,40192,40.7340123,-74.0067462,10014,8.09,9.91,4.88,9.55,14.38,7.11
10016,10016,B5,G6350,1378167,0,40.7452206,-73.9782937,10016,7.98,9.7333,4.6667,9.7667,12.8067,6.6733
10017,10017,B5,G6350,820953,0,40.7523591,-73.9724891,10017,7.6071,8.4929,5.3,8.55,12.8786,6.7786
10018,10018,B5,G6350,836255,0,40.755332,-73.9931395,10018,7.5625,10.7875,4.3,9.9375,13.275,6.55
10019,10019,B5,G6350,1804718,0,40.7658289,-73.9873413,10019,7.8154,10.2,5.9,9.5769,14.1385,7.6462
10021,10021,B5,G6350,986790,0,40.7692245,-73.9587405,10021,7.9692,8.1,6,8.3615,13.5,7.6077
10474,10474,B5,G6350,3961350,0,40.8106185,-73.8844743,10474,11.2778,19.7778,14.1889,16.5444,35.4222,16.8
10475,10475,B5,G6350,4454301,287086,40.8743749,-73.8236561,10475,11.7167,15.5833,13.6,12.4,32.1667,13.5833
10022,10022,B5,G6350,1107168,0,40.7586304,-73.9679488,10022,7.7929,8.1,6.3714,8.2571,13.4929,7.7071
10023,10023,B5,G6350,1269195,0,40.7759149,-73.9826023,10023,7.96,9.04,5.64,8.98,13.83,7.42
10024,10024,B5,G6350,2222642,0,40.798452,-73.9744135,10024,8.4889,10.4444,7.0556,10.2278,15.7333,8.9167
10025,10025,B5,G6350,1946733,0,40.7986013,-73.9666222,10025,8.8556,11.6611,7.3333,11.55,16.2944,9.3111
10026,10026,B5,G6350,860743,0,40.8023805,-73.9526814,10026,9.9429,14.8357,8.2714,13.2714,20.0643,10.3929
10027,10027,B5,G6350,2250650,1032,40.8114075,-73.9530604,10027,10.1619,15.7095,9.5476,14.0286,21.3905,11.6762
10028,10028,B5,G6350,811365,0,40.7764417,-73.9535134,10028,8.05,8.2667,5.7083,8.525,13.6083,7.4417
10029,10029,B5,G6350,2102364,0,40.7917631,-73.9439702,10029,9.8944,17.1444,11.7,14.9167,22.8833,14.0444
10030,10030,B5,G6350,722535,0,40.8182668,-73.9428558,10030,11.2,18.7,11.4,15.2,25.7111,13.5556
10031,10031,B5,G6350,1681546,0,40.8252881,-73.9500452,10031,10.3154,18.1385,12.6615,15.6,24.7769,14.9769
10032,10032,B5,G6350,1695753,0,40.8387917,-73.9428296,10032,9.5643,16.6357,12.1071,14.8214,22.9286,14.4786
10033,10033,B5,G6350,1544119,0,40.850482,-73.9340509,10033,8.9438,14.8875,11.0437,13.9063,20.8125,13.4688
10034,10034,B5,G6350,2823927,11193,40.8670761,-73.924312,10034,9.3778,16.2222,11.5111,14.3333,21.6889,14.6
10035,10035,B5,G6350,3689136,0,40.7954584,-73.9295703,10035,10.66,20.3267,13.5933,16.3867,26.5133,16.1067
10036,10036,B5,G6350,1137632,0,40.7592544,-73.9898269,10036,7.73,11.94,6.58,10.31,15.15,8.39
10037,10037,B5,G6350,666603,0,40.8129604,-73.9373761,10037,11.6,18.9417,13.0083,15.3917,26.6833,14.5833
10038,10038,B5,G6350,773837,0,40.7093384,-74.0025397,10038,7.9917,14.1667,10.2,11.7667,13.05,11.1583
10039,10039,B5,G6350,1132696,0,40.830869,-73.9362162,10039,10.8688,18.475,12.6563,15.5625,25.5625,14.7813
10040,10040,B5,G6350,988490,0,40.8583145,-73.9304937,10040,8.8091,14.3545,10.5636,13.2545,20.3909,13.0273
10044,10044,B5,G6350,595885,0,40.7619065,-73.9499671,10044,8.14,9.6,6.59,9.19,14.41,8.19
11225,11225,B5,G6350,2289259,0,40.6630459,-73.9542193,11225,11.275,16.11,11.42,13.02,27.925,11.315
11226,11226,B5,G6350,3339497,0,40.646448,-73.9566488,11226,11.65,17.9321,12.5286,14.0321,29.7429,12.6214
11228,11228,B5,G6350,3813708,0,40.6166983,-74.0130658,11228,8.9448,16.0241,9.869,12.2759,19.3759,11.8966
11229,11229,B5,G6350,5592659,143662,40.6012928,-73.9444926,11229,9.178,14.9,9.6585,11.9659,19.8439,11.5805
11230,11230,B5,G6350,4767216,0,40.6221642,-73.9651104,11230,9.8317,16.8049,10.1195,13.4927,22.561,12.4951
11231,11231,B5,G6350,3681946,66967,40.6779162,-74.0051543,11231,8.7615,11.8846,6.5923,10.4,19.7385,8.2385
11232,11232,B5,G6350,3084817,234,40.6577076,-74.0043769,11232,8.85,16.925,9.15,13.6167,23.025,11.4583
11233,11233,B5,G6350,3493431,0,40.6783019,-73.9199356,11233,12.2355,19.9903,13.629,15.6161,32.4161,14.1258
11234,11234,B5,G6350,19191735,2139260,40.6064361,-73.9097247,11234,10.3647,14.7824,10.2843,11.802,24.2608,10.9608
11235,11235,B5,G6350,5812668,495753,40.5839493,-73.9490961,11235,9.25,14.7324,11.0882,12.0176,20.9559,12.8118
11236,11236,B5,G6350,9321422,89767,40.6394133,-73.9006642,11236,11.9294,16.9745,12.7784,13.3314,29.851,12.3314
11237,11237,B5,G6350,2547925,46803,40.70416,-73.9211389,11237,9.1,17.2136,10.4955,14.5091,26.3909,12.5364
11238,11238,B5,G6350,2865959,0,40.6791692,-73.9638005,11238,10.02,13.312,8.356,11.316,23.468,8.84
11239,11239,B5,G6350,1598723,27109,40.6476944,-73.8791427,11239,12.2167,18.7833,15.6333,14.9167,31.85,15.2167
11354,11354,B5,G6350,5641435,59468,40.7682126,-73.8273924,11354,7.8895,16.7842,14.0789,12.2158,19.3368,13.4789
11355,11355,B5,G6350,4494248,0,40.7514628,-73.8209961,11355,7.75,17.4893,14.3179,12.475,19.0786,13.5786
11356,11356,B5,G6350,4084049,0,40.7849233,-73.8415475,11356,8.4857,16.6143,11.2857,12.7143,22.7143,12.7
11357,11357,B5,G6350,7279772,2281,40.7851288,-73.8100365,11357,8.38,14.08,10.5067,10.9333,20.32,11.54
11358,11358,B5,G6350,5047137,0,40.7604728,-73.7963725,11358,7.9308,14.2038,10.9846,10.9038,19.1385,11.3885
11360,11360,B5,G6350,3609051,0,40.7803484,-73.7815481,11360,8.025,11.6625,10.1625,9.6125,19.2375,10.5875
11361,11361,B5,G6350,4572643,49214,40.7641909,-73.7727748,11361,7.7632,12.8579,10.2474,10.1947,18.8,10.4842
11362,11362,B5,G6350,6554282,39269,40.7566318,-73.735333,11362,7.7077,12.6846,10.9538,9.9923,19.0308,10.9231
11363,11363,B5,G6350,2227891,34217,40.7723479,-73.7462919,11363,7.55,10.7,9.7,8.95,18.25,9.55
11364,11364,B5,G6350,6391238,0,40.7452935,-73.7605831,11364,7.6278,12.4889,10.8722,9.8389,18.1222,10.6444
11365,11365,B5,G6350,6471747,46201,40.7396342,-73.7944896,11365,7.9474,14.0789,11.6579,10.8737,18.7895,11.4579
11366,11366,B5,G6350,2830903,0,40.7281572,-73.7850174,11366,8.5533,14.0267,11.14,11.2267,21.0867,11.32
11367,11367,B5,G6350,6100383,556542,40.7301446,-73.8270304,11367,8.4937,15.4687,10.95,12.0062,21.2938,11.5437
11368,11368,B5,G6350,6810496,99467,40.7497368,-73.8530446,11368,8.72,18.7314,12.3714,14.7971,27.3771,13.98
11369,11369,B5,G6350,2823943,0,40.7634449,-73.8723342,11369,8.95,16.6071,12.4929,13.55,28.8071,13.1571
11370,11370,B5,G6350,3859881,0,40.7653925,-73.893191,11370,8.5,16.0308,10.1846,12.4846,23.9538,11.6769
11372,11372,B5,G6350,1918699,0,40.7516751,-73.8836665,11372,7.9957,15.3783,11.9087,12.4435,24.2565,12.3739
11373,11373,B5,G6350,3942312,0,40.7388426,-73.8785385,11373,7.83,15.5175,11.7175,12.1575,22.05,12.015
11374,11374,B5,G6350,2442516,0,40.7264673,-73.8615153,11374,8.3182,13.6545,10.9864,11.1409,21.6455,11.4364
